a_id,a_text,a_q_id,MB,MB15,JM,SL,num_annotators,num_ratings,num_ratings-1,maxvotes,random,True Label,AsRRN Prediction,SFRN Prediction
R_3Jr8e0DIeLtMX2A_q2_a,"Statistical inference could be used to determine whether Carla has a ""good ear for music"". One could see how many times Carla was able to correctly identify what note was being played out of the total notes played. Using statistical inference may be a good idea because it will be easier to remember and see overall whether or not she has a ""good ear for music"".",q2_a,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
R_3j8NCgfokq2Z97X_q3_b,First i would find the number of screens that would have to be broken in order for it to be 5% and available for return. Then once I had that number in my head I would begin checking the screens and counting the ones that were bad. If I reach the number of bad screens to where i can return i could stop counting and get ready to send it back.,q3_b,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
R_3j8NCgfokq2Z97X_q3_a,i do not think so because the engineer only needs to count the amount of bad display screens and calculate if it is over 5% and no other calculations need to be made.,q3_a,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
R_2zopTvp2rALhXHA_q3_b,"I would use the engineers data of the amount of bad screens compared to good. I would take the amount of bad screens and divide it by the total amount of screens (150) and find the percentage for this amount. If this percentage is less than 5% , I would keep the bulk. If it is more than 5% I would return the bulk.",q3_b,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
R_2zopTvp2rALhXHA_q2_a,"Yes you should, because you can record the number of times Carla gets the correct note and use statistical inference to further analyze the data.",q2_a,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
R_2xwNWSQ3eJMsqcw_q4_a,"You would want to use statistical inference. You want to find who is the better fisherman, so you would want to compile the length of the fish they catch to see who, on average, catches the larger fish.",q4_a,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
R_2vbTg1qoQsJUy7u_q2_a,"Yes, because her level of accuracy will back up her level of success of having a good ear for music. The more notes Carla gets correct demonstrates her good ear for music. The more notes she gets wrong demonstartes her inaacruacy and failure to have a good ear for music.",q2_a,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
R_2QgjUFPwqc5IODg_q4_a,"yes, to find the average length each of them catch",q4_a,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
R_2f6ST76DzsSNu3m_q3_b,5% of 150 is 7.5. So if 7.5/150 screens are bad the engineer may reject the order. If less than 7.5 screens are bad then the engineer should go ahead and accept the bulk order of 150 screens.,q3_b,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
R_2CT8XFj0uvnwcrC_q3_b,"You would decide whether the electronic company should accept or reject the order of display screens by simply getting the 150 screens and if by some reason you have more than 5% that are broken you return it for the refund, and then place another order in which you make sure there is 5% or less of the screens that are damaged.",q3_b,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
R_2b1uYLiJtEkFfG2_q3_b,According to the other data above it said if 5% of the screens are bad then the set should be rejected. 5% of 150 is 7 and half screens. This means if 8 screens are bad then the order will be sent back.,q3_b,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
R_2b1uYLiJtEkFfG2_q2_a,"Yes, because you can figure out the probability when she gets the note correct verse incorrect. The can be a score proved based on how many she gets right verse wrong.",q2_a,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
R_27BtfyWgcvxUuIX_q4_b,"state null and alternative hypothesis: / h0: there is no difference between mean lenghts of the fish that the two brothers catched. Ha: there is a difference between the mean lenghts of the fish that the two brothers catched.  /  / compute the means of the lenghts of all fish that the two brothers caught.  /  / find the p value,, first determine the standard error of the difference between the two sample means. (square root of squared SE mark + squared SE Dan).  /  / calulcate the observed difference (yhat mark - yhat dan)  /  / find the t value using technology.  /  / is the P value is bigger than 0.05, then the null hypothesis is rejected, hence there is a difference between the fish caught by dan and mark. to find out who caught the bigger ones, a side by side boxplot can be made.",q4_b,,2.0,2.0,2.0,3,1,0,3,0,2,2,2
R_27BtfyWgcvxUuIX_q2_a,"Statistical inference can be used to determine whether Carla has a good ear for music. You can compare the probability of guessing the right note with how often Carla mentions the right note, and see whether there is a difference.",q2_a,,2.0,2.0,2.0,3,1,0,3,0,2,2,2
R_26hH6uqf7gTjclL_q3_b,"I think the electronics company should look at the data gathered by the trained engineer. If the engineer says that there are more than 8 screens that are defective in the group of 150 screens, then they should send the bulk order back and get a refund. I got 8 by multiplying .05 (which is 5%) by 150 screens and you get 7.5. But since you can't have half of a screen you round up and get 8. So if 8 or more screens are defective then the electronics company should reject the order and get a refund.",q3_b,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
R_26gpxE1m7xovdaA_q4_a,Statistical inference can be used because you will have to use the mean size of the fish.,q4_a,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
R_25vHf0jCzvDqusw_q3_b,divide the number of bad screens by 150 and if the result is more than .05. then the company should reject the order.,q3_b,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
R_23Ww6BQ8ySAi4Ma_q3_a,No because the engineers are just making sure if the 150 display screens are working before they make a desicion.,q3_a,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
R_1q27vIX0tbDTOor_q3_a,No I do not think statistical inference should be used because that would mean they would take random samples of the 150 screens which would not confirm that 5% of the entire bulk of screens are bad or if they are mostly good.,q3_a,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
R_1NlgiAIqCAd9XE6_q3_b,If 5 percent or greater of the display screens are cracked the company should reject them.,q3_b,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
R_1LUv3BdI1qgoknk_q3_b,"You would have to multiply .05 by 150. Then if the company get more than 5% of bad screens they will be able to reject the order. However, if the order is less than 5% bad they will have to accept it.",q3_b,,2.0,2.0,2.0,3,1,0,3,0,2,2,2
R_1jrBhndeuKAJemT_q3_b,I would accept the order if the money was there for the investment. you would have to make sure that less than 8 of the order are bad. .05 times 150,q3_b,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
R_1JOXCiX9jdkkoid_q2_a,"I would use statistical inference in this scenario in the categorical category. I said yes you can use this because the researcher could see how many times, for example, Carla says the note is B but really each time she said B it was C.",q2_a,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
R_1HeIWMAVfNldGx0_q3_a,No there shouldn't be any statistical inference used by the company because the data obtained by the trained engineer will ensure whether or not 5% or more of the screens are bad.,q3_a,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
R_1H8KpFjUv9xh1Qb_q4_a,"Yes, you can test the average lengths of the fish caught by Mark and Dan and compare them to see who gets the higher average.",q4_a,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
R_1H8KpFjUv9xh1Qb_q3_b,Test all 150 display screens and see which ones are bad. Find the percentage of which ones are good or bad and if it is 5% or more then reject the order.,q3_b,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
R_1g60BgF2aUfqfTB_q3_b,I would count the number of bad computers and divide it by the total number of computers purchased in a bulk order(150). Then I would determine if that percent is less than or more than 5%.,q3_b,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
R_1CkjntzxZOjssV7_q4_b,"Find the mean of each brothers set of collected fish lengths and then make a null hypothesis that there is no difference between these means. Do a 2-sample t-test, chosing to either do a left or right tailed test, in which one mean is subtracted from the other.  / In this case, it would be beneficial to also set the data up into a histogram so that the overall spread of the data can be observed and interpreted.",q4_b,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
R_1CkjntzxZOjssV7_q4_a,"Statistical inference seem appropriate in this case, being that each brother has similar equipment, but will be separate from one another. Recorded length is appropriate if they are merely trying to determine who catches the bigger fish on average.",q4_a,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
R_10SrCe5A99aS8Io_q2_a,"Yes in this scenario statistical  inference can be used, because here we can gather and tally up data on the amount fo times Carla identified the correct note that was being played.",q2_a,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
R_0W0zWX4BzwFNHGx_q3_b,"by testing the display screens, find 5% of 150, which is about 7-8 screens. As soon as you hit the 7 number of screens that are not working properly, you may now reject the offer.",q3_b,2.0,,2.0,2.0,3,1,0,3,0,2,2,2
R_6RktEQMK2li2kVP_q3_a,No it should not. All they need to know is how many screens make up 5% of 150.,q3_a,2.0,,2.0,1.0,3,2,1,2,0,2,2,2
R_3rSsapLCzLuUW08_q2_a,"Yes, statistical inference could be used to determine if Carla has a ""good ear for music"". I would use statistical inference because we could come up with a confidence level, mean, and a sample standard deviation as to how often Carla is right when identifying the notes.",q2_a,2.0,,2.0,1.0,3,2,1,2,0,2,2,2
R_3PHP2nBKALpbmX7_q4_a,"Yes, statistical inference should be used in this scenario.  The two fishermen are comparing average values.",q4_a,2.0,,2.0,1.0,3,2,1,2,0,2,2,2
R_3PHP2nBKALpbmX7_q2_a,"Statistical inference can be used in this scenario.  The method could use two categories (correct or incorrect) and compare whether there exists a tendency for Carla to choose the correct note.  Without an existing statistic to compare Carla's proportion to, however, there is no way to know if Carla has a ""good"" ear for music.",q2_a,2.0,,1.0,2.0,3,2,1,2,0,2,2,2
R_2f8Pg8FnM3c25x6_q4_b,First calculate the mean and standard deviation for Mark and Dan. / Than determine the confidence interval (95%) for Mark. / If Dan's mean is in the confidence interval than they are equal. / If Dan's mean is greater than the confidence interval than Dan is better. / If Dan's mean is less than the confidence interval than Mark is better.,q4_b,1.0,,2.0,2.0,3,2,1,2,0,2,2,2
R_2CT8XFj0uvnwcrC_q4_a,Yes this instance could use statistical inference. You could easily figure out who catches on average the largest fishes by simple statistics.,q4_a,2.0,,2.0,1.0,3,2,1,2,0,2,2,2
R_2CT8XFj0uvnwcrC_q2_a,"Statistical inference could be used to determine this.You could use a large sample of students and test what the average correct guesses are out of 100 notes and that way you could differentiate between the students who are average, or above average. It is not needed really but it is something interesting to find out about.",q2_a,2.0,,2.0,0.0,3,2,1,2,0,2,2,2
R_27BtfyWgcvxUuIX_q2_b,"1. Get a sample: i.e. let the teacher play a note 50 times, and let the student guess 50 times  / 2. Let's say that if the has good hearing, the chance of success, getting the right note, is 0.9. This leads us to the hypothesis: h0: p=0.9. ha: p<0.9  / 3. Calculate phat: number of successes/n  / 4. Calculate the z score  / 5. calculate the p-value  / 6. State your conclusion: is the p is small, then the chance of getting the observed number of successes is very small assuming that the null hypothesis is true. this means that we rejected the hypothesis that she has a good hearing.",q2_b,,2.0,0.0,2.0,3,2,1,2,0,2,2,2
R_1il0wcVOEolLudb_q3_b,By the data giving if more than 5% is bad then they  should test the whole 150,q3_b,,2.0,0.0,2.0,3,2,1,2,0,2,2,2
R_1H8KpFjUv9xh1Qb_q2_a,"Statistical inference should be used to determine whether she has a good ear for music because by taking the results from the rest of the students in the class, finding the sample mean and comparing her results to that mean and the overall mean we can determine whether her ear is better than others.",q2_a,1.0,,2.0,2.0,3,2,1,2,0,2,2,2
R_yRcaK17vHAS3gNr_q4_b,"Compare the mean difference between the brothers. Determine a confidence range and a two-tailed test of signifcance to find if the fish caught by the brothers varies enough to be signficant. If their is significant difference, determine that one brother is a better fisherman.",q4_b,,2.0,2.0,,2,1,0,2,0,2,2,2
R_yRcaK17vHAS3gNr_q3_b,Test whether each screen works. If more than 5% of the screens do not function then reject the order.,q3_b,,2.0,2.0,,2,1,0,2,0,2,2,2
R_yRcaK17vHAS3gNr_q3_a,"No, statistical inference is not appropriate. The engineer will simply determine if more or less than 5% of the screens are defective. There is no need to compare data.",q3_a,,2.0,2.0,,2,1,0,2,0,2,2,2
R_xgtW0fYKXxyovMB_q3_b,"The trained engineer should look at each of the display screens and determine if they work or not. To stay organized, he should make a chart or list to keep track of how many bad ones there are. If the number of bad display screens surpasses 5% of 150, then the company should reject the order. If there are less than 5% of 150 that are bad then the company must accept the order.",q3_b,2.0,,,2.0,2,1,0,2,0,2,2,2
R_xgtW0fYKXxyovMB_q3_a,No because you are just looking at whether or not 5% of the display screens are bad so there is nothing to infer or calculate.,q3_a,2.0,,,2.0,2,1,0,2,0,2,2,2
