id,essay_set,essay_weight,essay_score,Usage
1827,1,1,3,PublicTest
1828,1,1,2,PublicTest
1829,1,1,2,PublicTest
1830,1,1,2,PublicTest
1831,1,1,3,PublicTest
1832,1,1,3,PublicTest
1833,1,1,0,PublicTest
1834,1,1,2,PublicTest
1835,1,1,1,PublicTest
1836,1,1,3,PublicTest
1837,1,1,1,PublicTest
1838,1,1,1,PublicTest
1839,1,1,3,PublicTest
1840,1,1,0,PublicTest
1841,1,1,1,PublicTest
1842,1,1,2,PublicTest
1843,1,1,2,PublicTest
1844,1,1,3,PublicTest
1845,1,1,2,PublicTest
1846,1,1,2,PublicTest
1847,1,1,1,PublicTest
1848,1,1,2,PublicTest
1849,1,1,1,PublicTest
1850,1,1,3,PublicTest
1851,1,1,1,PublicTest
1852,1,1,1,PublicTest
1853,1,1,1,PublicTest
1854,1,1,2,PublicTest
1855,1,1,3,PublicTest
1856,1,1,0,PublicTest
1857,1,1,3,PublicTest
1858,1,1,2,PublicTest
1859,1,1,3,PublicTest
1860,1,1,3,PublicTest
1861,1,1,1,PublicTest
1862,1,1,3,PublicTest
1863,1,1,0,PublicTest
1864,1,1,2,PublicTest
1865,1,1,1,PublicTest
1866,1,1,1,PublicTest
1867,1,1,1,PublicTest
1868,1,1,1,PublicTest
1869,1,1,1,PublicTest
1870,1,1,3,PublicTest
1871,1,1,0,PublicTest
1872,1,1,3,PublicTest
1873,1,1,0,PublicTest
1874,1,1,3,PublicTest
1875,1,1,3,PublicTest
1876,1,1,2,PublicTest
1877,1,1,2,PublicTest
1878,1,1,1,PublicTest
1879,1,1,2,PublicTest
1880,1,1,3,PublicTest
1881,1,1,0,PublicTest
1882,1,1,3,PublicTest
1883,1,1,2,PublicTest
1884,1,1,1,PublicTest
1885,1,1,2,PublicTest
1886,1,1,2,PublicTest
1887,1,1,2,PublicTest
1888,1,1,1,PublicTest
1889,1,1,1,PublicTest
1890,1,1,2,PublicTest
1891,1,1,1,PublicTest
1892,1,1,2,PublicTest
1893,1,1,0,PublicTest
1894,1,1,2,PublicTest
1895,1,1,3,PublicTest
1896,1,1,1,PublicTest
1897,1,1,2,PublicTest
1898,1,1,0,PublicTest
1899,1,1,1,PublicTest
1900,1,1,2,PublicTest
1901,1,1,1,PublicTest
1902,1,1,1,PublicTest
1903,1,1,1,PublicTest
1904,1,1,1,PublicTest
1905,1,1,0,PublicTest
1906,1,1,2,PublicTest
1907,1,1,2,PublicTest
1908,1,1,3,PublicTest
1909,1,1,2,PublicTest
1910,1,1,2,PublicTest
1911,1,1,2,PublicTest
1912,1,1,1,PublicTest
1913,1,1,0,PublicTest
1914,1,1,1,PublicTest
1915,1,1,3,PublicTest
1916,1,1,1,PublicTest
1917,1,1,0,PublicTest
1918,1,1,1,PublicTest
1919,1,1,1,PublicTest
1920,1,1,1,PublicTest
1921,1,1,1,PublicTest
1922,1,1,1,PublicTest
1923,1,1,0,PublicTest
1924,1,1,1,PublicTest
1925,1,1,3,PublicTest
1926,1,1,3,PublicTest
1927,1,1,3,PublicTest
1928,1,1,3,PublicTest
1929,1,1,2,PublicTest
1930,1,1,0,PublicTest
1931,1,1,1,PublicTest
1932,1,1,3,PublicTest
1933,1,1,2,PublicTest
1934,1,1,2,PublicTest
1935,1,1,0,PublicTest
1936,1,1,2,PublicTest
1937,1,1,2,PublicTest
1938,1,1,2,PublicTest
1939,1,1,2,PublicTest
1940,1,1,1,PublicTest
1941,1,1,3,PublicTest
1942,1,1,3,PublicTest
1943,1,1,0,PublicTest
1944,1,1,2,PublicTest
1945,1,1,1,PublicTest
1946,1,1,2,PublicTest
1947,1,1,1,PublicTest
1948,1,1,0,PublicTest
1949,1,1,0,PublicTest
1950,1,1,1,PublicTest
1951,1,1,0,PublicTest
1952,1,1,1,PublicTest
1953,1,1,1,PublicTest
1954,1,1,1,PublicTest
1955,1,1,0,PublicTest
1956,1,1,1,PublicTest
1957,1,1,1,PublicTest
1958,1,1,3,PublicTest
1959,1,1,2,PublicTest
1960,1,1,2,PublicTest
1961,1,1,1,PublicTest
1962,1,1,2,PublicTest
1963,1,1,2,PublicTest
1964,1,1,2,PublicTest
1965,1,1,1,PublicTest
1966,1,1,3,PublicTest
1967,1,1,1,PublicTest
1968,1,1,2,PublicTest
1969,1,1,2,PublicTest
1970,1,1,1,PublicTest
1971,1,1,0,PublicTest
1972,1,1,0,PublicTest
1973,1,1,3,PublicTest
1974,1,1,0,PublicTest
1975,1,1,1,PublicTest
1976,1,1,0,PublicTest
1977,1,1,2,PublicTest
1978,1,1,1,PublicTest
1979,1,1,2,PublicTest
1980,1,1,2,PublicTest
1981,1,1,3,PublicTest
1982,1,1,3,PublicTest
1983,1,1,0,PublicTest
1984,1,1,3,PublicTest
1985,1,1,2,PublicTest
1986,1,1,3,PublicTest
1987,1,1,0,PublicTest
1988,1,1,2,PublicTest
1989,1,1,1,PublicTest
1990,1,1,3,PublicTest
1991,1,1,2,PublicTest
1992,1,1,1,PublicTest
1993,1,1,0,PublicTest
1994,1,1,2,PublicTest
1995,1,1,3,PublicTest
1996,1,1,1,PublicTest
1997,1,1,2,PublicTest
1998,1,1,3,PublicTest
1999,1,1,2,PublicTest
2000,1,1,1,PublicTest
2001,1,1,3,PublicTest
2002,1,1,1,PublicTest
2003,1,1,2,PublicTest
2004,1,1,3,PublicTest
2005,1,1,2,PublicTest
2006,1,1,2,PublicTest
2007,1,1,0,PublicTest
2008,1,1,2,PublicTest
2009,1,1,2,PublicTest
2010,1,1,2,PublicTest
2011,1,1,1,PublicTest
2012,1,1,3,PublicTest
2013,1,1,3,PublicTest
2014,1,1,2,PublicTest
2015,1,1,0,PublicTest
2016,1,1,3,PublicTest
2017,1,1,3,PublicTest
2018,1,1,0,PublicTest
2019,1,1,1,PublicTest
2020,1,1,0,PublicTest
2021,1,1,2,PublicTest
2022,1,1,2,PublicTest
2023,1,1,1,PublicTest
2024,1,1,2,PublicTest
2025,1,1,0,PublicTest
2026,1,1,2,PublicTest
2027,1,1,0,PublicTest
2028,1,1,2,PublicTest
2029,1,1,1,PublicTest
2030,1,1,1,PublicTest
2031,1,1,1,PublicTest
2032,1,1,0,PublicTest
2033,1,1,2,PublicTest
2034,1,1,3,PublicTest
2035,1,1,1,PublicTest
2036,1,1,1,PublicTest
2037,1,1,2,PublicTest
2038,1,1,3,PublicTest
2039,1,1,0,PublicTest
2040,1,1,2,PublicTest
2041,1,1,1,PublicTest
2042,1,1,3,PublicTest
2043,1,1,3,PublicTest
2044,1,1,1,PublicTest
2045,1,1,3,PublicTest
2046,1,1,1,PublicTest
2047,1,1,1,PublicTest
2048,1,1,3,PublicTest
2049,1,1,0,PublicTest
2050,1,1,1,PublicTest
2051,1,1,0,PublicTest
2052,1,1,3,PublicTest
2053,1,1,2,PublicTest
2054,1,1,0,PublicTest
2055,1,1,1,PublicTest
2056,1,1,2,PublicTest
2057,1,1,2,PublicTest
2058,1,1,3,PublicTest
2059,1,1,2,PublicTest
2060,1,1,2,PublicTest
2061,1,1,1,PublicTest
2062,1,1,1,PublicTest
2063,1,1,2,PublicTest
2064,1,1,1,PublicTest
2065,1,1,0,PublicTest
2066,1,1,0,PublicTest
2067,1,1,0,PublicTest
2068,1,1,0,PublicTest
2069,1,1,0,PublicTest
2070,1,1,2,PublicTest
2071,1,1,0,PublicTest
2072,1,1,2,PublicTest
2073,1,1,1,PublicTest
2074,1,1,2,PublicTest
2075,1,1,2,PublicTest
2076,1,1,2,PublicTest
2077,1,1,1,PublicTest
2078,1,1,2,PublicTest
2079,1,1,2,PublicTest
2080,1,1,0,PublicTest
2081,1,1,2,PublicTest
2082,1,1,1,PublicTest
2083,1,1,3,PublicTest
2084,1,1,2,PublicTest
2085,1,1,0,PublicTest
2086,1,1,1,PublicTest
2087,1,1,3,PublicTest
2088,1,1,3,PublicTest
2089,1,1,1,PublicTest
2090,1,1,2,PublicTest
2091,1,1,3,PublicTest
2092,1,1,2,PublicTest
2093,1,1,0,PublicTest
2094,1,1,2,PublicTest
2095,1,1,1,PublicTest
2096,1,1,1,PublicTest
2097,1,1,1,PublicTest
2098,1,1,1,PublicTest
2099,1,1,3,PublicTest
2100,1,1,2,PublicTest
2101,1,1,1,PublicTest
2102,1,1,2,PublicTest
2103,1,1,2,PublicTest
2104,1,1,1,PublicTest
2105,1,1,0,PublicTest
2106,1,1,1,PublicTest
2107,1,1,3,PublicTest
2108,1,1,1,PublicTest
2109,1,1,1,PublicTest
2110,1,1,0,PublicTest
2111,1,1,1,PublicTest
2112,1,1,0,PublicTest
2113,1,1,2,PublicTest
2114,1,1,2,PublicTest
2115,1,1,2,PublicTest
2116,1,1,2,PublicTest
2117,1,1,3,PublicTest
2118,1,1,3,PublicTest
2119,1,1,1,PublicTest
2120,1,1,2,PublicTest
2121,1,1,2,PublicTest
2122,1,1,2,PublicTest
2123,1,1,2,PublicTest
2124,1,1,0,PublicTest
2125,1,1,2,PublicTest
2126,1,1,2,PublicTest
2127,1,1,3,PublicTest
2128,1,1,1,PublicTest
2129,1,1,1,PublicTest
2130,1,1,1,PublicTest
2131,1,1,1,PublicTest
2132,1,1,1,PublicTest
2133,1,1,1,PublicTest
2134,1,1,2,PublicTest
2135,1,1,0,PublicTest
2136,1,1,3,PublicTest
2137,1,1,3,PublicTest
2138,1,1,0,PublicTest
2139,1,1,2,PublicTest
2140,1,1,2,PublicTest
2141,1,1,3,PublicTest
2142,1,1,1,PublicTest
2143,1,1,2,PublicTest
2144,1,1,1,PublicTest
2145,1,1,3,PublicTest
2146,1,1,0,PublicTest
2147,1,1,2,PublicTest
2148,1,1,2,PublicTest
2149,1,1,0,PublicTest
2150,1,1,2,PublicTest
2151,1,1,2,PublicTest
2152,1,1,0,PublicTest
2153,1,1,0,PublicTest
2154,1,1,2,PublicTest
2155,1,1,3,PublicTest
2156,1,1,3,PublicTest
2157,1,1,2,PublicTest
2158,1,1,3,PublicTest
2159,1,1,3,PublicTest
2160,1,1,2,PublicTest
2161,1,1,1,PublicTest
2162,1,1,3,PublicTest
2163,1,1,2,PublicTest
2164,1,1,2,PublicTest
2165,1,1,1,PublicTest
2166,1,1,1,PublicTest
2167,1,1,2,PublicTest
2168,1,1,2,PublicTest
2169,1,1,2,PublicTest
2170,1,1,1,PublicTest
2171,1,1,2,PublicTest
2172,1,1,2,PublicTest
2173,1,1,0,PublicTest
2174,1,1,3,PublicTest
2175,1,1,1,PublicTest
2176,1,1,3,PublicTest
2177,1,1,0,PublicTest
2178,1,1,0,PublicTest
2179,1,1,1,PublicTest
2180,1,1,2,PublicTest
2181,1,1,1,PublicTest
2182,1,1,2,PublicTest
2183,1,1,2,PublicTest
2184,1,1,3,PublicTest
2185,1,1,2,PublicTest
2186,1,1,1,PublicTest
2187,1,1,1,PublicTest
2188,1,1,0,PublicTest
2189,1,1,0,PublicTest
2190,1,1,2,PublicTest
2191,1,1,0,PublicTest
2192,1,1,1,PublicTest
2193,1,1,3,PublicTest
2194,1,1,0,PublicTest
2195,1,1,0,PublicTest
2196,1,1,2,PublicTest
2197,1,1,3,PublicTest
2198,1,1,3,PublicTest
2199,1,1,2,PublicTest
2200,1,1,2,PublicTest
2201,1,1,2,PublicTest
2202,1,1,1,PublicTest
2203,1,1,0,PublicTest
2204,1,1,0,PublicTest
2205,1,1,1,PublicTest
2206,1,1,0,PublicTest
2207,1,1,0,PublicTest
2208,1,1,2,PublicTest
2209,1,1,3,PublicTest
2210,1,1,3,PublicTest
2211,1,1,2,PublicTest
2212,1,1,1,PublicTest
2213,1,1,2,PublicTest
2214,1,1,0,PublicTest
2215,1,1,1,PublicTest
2216,1,1,0,PublicTest
2217,1,1,1,PublicTest
2218,1,1,2,PublicTest
2219,1,1,2,PublicTest
2220,1,1,3,PublicTest
2221,1,1,2,PublicTest
2222,1,1,3,PublicTest
2223,1,1,0,PublicTest
2224,1,1,2,PublicTest
2225,1,1,2,PublicTest
2226,1,1,0,PublicTest
2227,1,1,1,PublicTest
2228,1,1,1,PublicTest
2229,1,1,1,PublicTest
